time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-06-30T06:28:14.200Z,35.4031,-98.0929,5,2.9,mb_lg,,76,0.185,0.31,us,us2000fs0u,2018-06-30T06:38:50.040Z,"13km W of Union City, Oklahoma",earthquake,1,1.9,0.048,115,reviewed,us,us
2018-06-30T04:20:28.140Z,41.3841,-100.1549,5,4.1,mb,,23,1.35,0.75,us,us2000frxi,2018-07-14T13:30:03.683Z,"31km ESE of Stapleton, Nebraska",earthquake,3.7,1.9,0.064,66,reviewed,us,us
2018-06-29T15:53:50.470Z,31.6628,-104.4689,5,2.9,mb_lg,,66,0.59,1.16,us,us2000frfq,2018-06-29T17:14:30.040Z,"77km NNE of Van Horn, Texas",earthquake,1.3,2,0.089,49,reviewed,us,us
2018-06-29T12:29:29.370Z,35.4005,-98.1165,5,3,mb_lg,,41,0.185,0.52,us,us2000fr8f,2018-06-30T06:35:38.390Z,"15km W of Union City, Oklahoma",earthquake,0.9,1.9,0.056,84,reviewed,us,us
2018-06-29T12:11:13.240Z,37.0976667,-119.2353333,35.65,2.6,md,28,157,0.2352,0.07,nc,nc73037606,2018-06-29T22:58:02.749Z,"7km E of Shaver Lake, CA",earthquake,0.98,0.81,0.16,33,reviewed,nc,nc
2018-06-28T23:49:11.100Z,38.8331667,-122.8018333,1.42,3.22,ml,78,29,0.01039,0.05,nc,nc73037206,2018-07-10T04:14:50.040Z,"7km W of Cobb, CA",earthquake,0.09,0.12,0.23,52,reviewed,nc,nc
2018-06-28T23:37:30.120Z,31.1924,-103.3209,5,2.7,mb_lg,,56,0.271,1.07,us,us2000fqqz,2018-07-10T04:12:06.040Z,"30km SSE of Pecos, Texas",earthquake,1,1.8,0.089,41,reviewed,us,us
2018-06-28T06:51:40.740Z,31.3956,-103.4838,2.17,2.7,ml,,58,0.328,0.56,us,us2000fpxp,2018-06-29T13:06:41.529Z,"3km SSE of Pecos, Texas",earthquake,5.6,3.7,0.097,58,reviewed,us,us
2018-06-28T03:42:12.070Z,31.432,-103.4706,7.06,2.5,ml,,56,0.304,0.59,us,us2000fptx,2018-06-28T12:48:30.672Z,"2km ENE of Pecos, Texas",earthquake,6.7,3.5,0.115,52,reviewed,us,us
2018-06-28T03:16:33.900Z,31.5868,-104.496,16.75,2.6,ml,,69,0.579,0.67,us,us2000fptb,2018-06-30T03:22:48.518Z,"68km NNE of Van Horn, Texas",earthquake,2.6,8.3,0.128,22,reviewed,us,us
2018-06-27T14:04:25.230Z,37.2998,-97.4185,5,3.2,mb_lg,,98,0.228,0.26,us,us1000f3bb,2018-07-13T12:09:13.617Z,"5km NW of Wellington, Kansas",earthquake,1.6,2,0.044,134,reviewed,us,us
2018-06-27T06:58:19.570Z,40.4751667,-124.9228333,23.82,2.67,md,40,254,0.4465,0.21,nc,nc73036581,2018-06-28T00:19:03.344Z,"56km WNW of Petrolia, CA",earthquake,1.13,11.15,0.212,32,reviewed,nc,nc
2018-06-27T01:22:01.210Z,34.0271667,-117.2306667,16.74,2.63,ml,143,15,0.02746,0.16,ci,ci37270234,2018-07-02T09:25:08.846Z,"4km SE of Loma Linda, CA",earthquake,0.1,0.2,0.163,159,reviewed,ci,ci
2018-06-26T19:48:13.600Z,36.7602,-98.0665,6.823,2.5,ml,,52,,0.28,us,us1000f2kf,2018-06-27T19:30:58.040Z,"25km E of Cherokee, Oklahoma",earthquake,1,6.8,,,reviewed,tul,tul
2018-06-26T18:45:42.400Z,34.9856,-97.539,3.409,2.8,ml,,29,,0.81,us,us1000f2i5,2018-06-29T12:50:34.760Z,"16km W of Purcell, Oklahoma",earthquake,1.3,2.9,,,reviewed,tul,tul
2018-06-26T12:10:52.600Z,36.5476667,-121.0728333,7.54,2.6,md,58,69,0.04078,0.09,nc,nc73036191,2018-06-27T01:16:02.725Z,"6km ENE of Pinnacles, CA",earthquake,0.12,0.25,0.207,84,reviewed,nc,nc
2018-06-26T07:39:00.900Z,39.7085,-110.7126667,-2.51,2.77,ml,25,49,0.03168,0.15,uu,uu60286752,2018-07-10T06:48:25.040Z,"12km ENE of Helper, Utah",earthquake,0.28,1,0.165,22,reviewed,uu,uu
2018-06-26T07:04:20.600Z,39.3241667,-120.1405,5.46,2.57,md,22,62,0.1423,0.06,nc,nc73036051,2018-06-28T10:38:33.850Z,"4km E of Truckee, CA",earthquake,0.18,0.77,0.251,22,reviewed,nc,nc
2018-06-26T03:55:09.570Z,36.1758,-106.9132,5,3,ml,,94,1.282,0.52,us,us1000f1x7,2018-06-28T02:15:19.465Z,"17km NNE of Cuba, New Mexico",earthquake,1.5,2,0.048,56,reviewed,us,us
2018-06-25T12:06:43.810Z,35.5185,-118.5805,-0.88,2.64,ml,47,50,0.1681,0.17,ci,ci37269066,2018-06-25T22:20:39.163Z,"11km SW of Bodfish, CA",earthquake,0.19,0.38,0.271,27,reviewed,ci,ci
2018-06-25T05:14:23.740Z,46.9133333,-112.538,12.4,2.84,ml,22,116,0.091,0.21,mb,mb80299269,2018-06-25T13:28:12.190Z,"11km ESE of Lincoln, Montana",earthquake,0.46,0.55,0.293,19,reviewed,mb,mb
2018-06-24T07:47:10.530Z,33.6408333,-116.7308333,13.5,2.95,ml,140,16,0.0546,0.19,ci,ci37268338,2018-07-05T16:14:29.273Z,"11km NNW of Anza, CA",earthquake,0.09,0.19,0.128,213,reviewed,ci,ci
2018-06-23T20:59:41.490Z,36.7563333,-121.2611667,10.24,2.84,md,67,74,0.0742,0.09,nc,nc73035021,2018-06-25T19:33:03.715Z,"6km SE of Tres Pinos, CA",earthquake,0.15,0.29,0.158,103,reviewed,nc,nc
2018-06-23T18:12:48.300Z,36.7585,-98.0675,7.175,2.7,ml,,52,,0.41,us,us1000ezqi,2018-06-26T13:49:06.040Z,"25km E of Cherokee, Oklahoma",earthquake,1.5,4.8,,,reviewed,tul,tul
2018-06-23T04:50:46.760Z,36.463,-121.0016667,8.73,3.06,ml,69,99,0.04074,0.08,nc,nc73034736,2018-06-26T23:11:26.040Z,"15km ESE of Pinnacles, CA",earthquake,0.15,0.29,0.118,34,reviewed,nc,nc
2018-06-22T23:38:20.000Z,36.6684,-98.7615,6.545,3,ml,,80,,0.43,us,us1000ez6e,2018-06-25T22:39:58.040Z,"17km SSW of Alva, Oklahoma",earthquake,2.6,6.3,,,reviewed,tul,tul
2018-06-22T22:59:01.830Z,37.3756667,-121.729,7.13,2.56,md,122,32,0.03188,0.12,nc,nc73034586,2018-06-28T23:25:31.916Z,"9km E of Alum Rock, CA",earthquake,0.1,0.23,0.148,95,reviewed,nc,nc
2018-06-22T07:46:42.460Z,37.9865,-121.7273333,7.42,2.71,md,77,38,0.0387,0.21,nc,nc73034211,2018-06-23T03:41:25.582Z,"2km SW of Oakley, CA",earthquake,0.17,0.47,0.173,95,reviewed,nc,nc
2018-06-22T07:41:42.480Z,37.9911667,-121.7205,10.4,3.24,mw,188,37,0.03628,0.23,nc,nc73034206,2018-07-07T12:36:01.040Z,"1km SW of Oakley, CA",earthquake,0.12,0.29,,3,reviewed,nc,nc
2018-06-22T03:29:54.990Z,36.1034,-97.8402,5.16,3.3,mb_lg,,29,0.12,0.21,us,us1000ey9c,2018-06-27T13:24:20.743Z,"5km E of Hennessey, Oklahoma",earthquake,1,1.8,0.046,125,reviewed,us,us
2018-06-21T18:05:46.980Z,40.9015,-123.4753333,28,2.73,ml,53,51,0.1969,0.1,nc,nc73033931,2018-06-22T01:18:03.369Z,"14km ESE of Willow Creek, CA",earthquake,0.22,0.85,0.13,16,reviewed,nc,nc
